v8-version,7,6,303,29,0
code-creation,Builtin,3,6001,0x7ff7dd5311e0,4032,ArrayFrom
code-creation,Builtin,3,6008,0x7ff7dd5321c0,958,ArrayIncludesSmiOrObject
code-creation,Builtin,3,6015,0x7ff7dd532580,124,ArrayIncludesPackedDoubles
code-creation,Builtin,3,6023,0x7ff7dd532600,180,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,6031,0x7ff7dd5326c0,581,ArrayIncludes
code-creation,Builtin,3,6038,0x7ff7dd532920,870,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,6046,0x7ff7dd532ca0,108,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,6053,0x7ff7dd532d20,108,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,6061,0x7ff7dd532da0,589,ArrayIndexOf
code-creation,Builtin,3,6068,0x7ff7dd533000,12,ArrayPop
code-creation,Builtin,3,6075,0x7ff7dd533020,704,ArrayPrototypePop
code-creation,Builtin,3,6082,0x7ff7dd533300,12,ArrayPush
code-creation,Builtin,3,6089,0x7ff7dd533320,2810,ArrayPrototypePush
code-creation,Builtin,3,6097,0x7ff7dd533e20,12,ArrayShift
code-creation,Builtin,3,6104,0x7ff7dd533e40,12,ArrayUnshift
code-creation,Builtin,3,6111,0x7ff7dd533e60,1182,CloneFastJSArray
code-creation,Builtin,3,6119,0x7ff7dd534300,2652,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,6126,0x7ff7dd534d60,1178,ExtractFastJSArray
code-creation,Builtin,3,6134,0x7ff7dd535200,307,ArrayPrototypeEntries
code-creation,Builtin,3,6141,0x7ff7dd535340,299,ArrayPrototypeKeys
code-creation,Builtin,3,6149,0x7ff7dd535480,307,ArrayPrototypeValues
code-creation,Builtin,3,6156,0x7ff7dd5355c0,4592,ArrayIteratorPrototypeNext
code-creation,Builtin,3,6164,0x7ff7dd5367c0,3920,FlattenIntoArray
code-creation,Builtin,3,6171,0x7ff7dd537720,3880,FlatMapIntoArray
code-creation,Builtin,3,6178,0x7ff7dd538660,508,ArrayPrototypeFlat
code-creation,Builtin,3,6186,0x7ff7dd538860,556,ArrayPrototypeFlatMap
code-creation,Builtin,3,6193,0x7ff7dd538aa0,12,ArrayBufferConstructor
code-creation,Builtin,3,6201,0x7ff7dd538ac0,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,6209,0x7ff7dd538ae0,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,6236,0x7ff7dd538b00,12,ArrayBufferIsView
code-creation,Builtin,3,6264,0x7ff7dd538b20,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,6272,0x7ff7dd538b40,442,AsyncFunctionEnter
code-creation,Builtin,3,6293,0x7ff7dd538d00,161,AsyncFunctionReject
code-creation,Builtin,3,6313,0x7ff7dd538dc0,153,AsyncFunctionResolve
code-creation,Builtin,3,6321,0x7ff7dd538e60,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,6329,0x7ff7dd538e80,1378,AsyncFunctionAwaitCaught
